# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         10.657
 8.8571      0.026         11.757
 8.7857      0.032         12.835
 8.7143      0.038         13.888
 8.6429      0.045         14.912
 8.5714      0.051         15.902
 8.5000      0.057         16.851
 8.4286      0.063         17.749
 8.3571      0.069         18.583
 8.2857      0.075         19.333
 8.2143      0.082         19.968
 8.1429      0.088         20.430
 8.0714      0.094         20.605
 8.0000      0.100         20.166
