# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          6.824
 8.8571      0.026          8.413
 8.7857      0.032          9.978
 8.7143      0.038         11.514
 8.6429      0.045         13.017
 8.5714      0.051         14.480
 8.5000      0.057         15.894
 8.4286      0.063         17.245
 8.3571      0.069         18.517
 8.2857      0.075         19.678
 8.2143      0.082         20.678
 8.1429      0.088         21.414
 8.0714      0.094         21.614
 8.0000      0.100         19.660
