# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.350
 8.8571      0.026         12.355
 8.7857      0.032         16.312
 8.7143      0.038         20.212
 8.6429      0.045         24.045
 8.5714      0.051         27.797
 8.5000      0.057         31.450
 8.4286      0.063         34.976
 8.3571      0.069         38.337
 8.2857      0.075         41.469
 8.2143      0.082         44.258
 8.1429      0.088         46.469
 8.0714      0.094         47.430
 8.0000      0.100         39.217
