# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.840
 8.8571      0.026          9.310
 8.7857      0.032         10.756
 8.7143      0.038         12.173
 8.6429      0.045         13.556
 8.5714      0.051         14.898
 8.5000      0.057         16.191
 8.4286      0.063         17.423
 8.3571      0.069         18.576
 8.2857      0.075         19.621
 8.2143      0.082         20.512
 8.1429      0.088         21.157
 8.0714      0.094         21.333
 8.0000      0.100         20.040
