# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.661
 8.8571      0.026          9.112
 8.7857      0.032         10.538
 8.7143      0.038         11.936
 8.6429      0.045         13.300
 8.5714      0.051         14.625
 8.5000      0.057         15.901
 8.4286      0.063         17.117
 8.3571      0.069         18.254
 8.2857      0.075         19.286
 8.2143      0.082         20.166
 8.1429      0.088         20.803
 8.0714      0.094         20.977
 8.0000      0.100         19.690
