# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         13.651
 8.8571      0.026         15.390
 8.7857      0.032         17.098
 8.7143      0.038         18.771
 8.6429      0.045         20.403
 8.5714      0.051         21.984
 8.5000      0.057         23.505
 8.4286      0.063         24.950
 8.3571      0.069         26.297
 8.2857      0.075         27.513
 8.2143      0.082         28.540
 8.1429      0.088         29.269
 8.0714      0.094         29.443
 8.0000      0.100         28.066
