# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.037
 8.8571      0.026          8.616
 8.7857      0.032         10.170
 8.7143      0.038         11.695
 8.6429      0.045         13.185
 8.5714      0.051         14.634
 8.5000      0.057         16.032
 8.4286      0.063         17.368
 8.3571      0.069         18.621
 8.2857      0.075         19.763
 8.2143      0.082         20.743
 8.1429      0.088         21.460
 8.0714      0.094         21.656
 8.0000      0.100         19.943
