# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.942
 8.8571      0.026         10.456
 8.7857      0.032         12.933
 8.7143      0.038         15.368
 8.6429      0.045         17.753
 8.5714      0.051         20.077
 8.5000      0.057         22.328
 8.4286      0.063         24.486
 8.3571      0.069         26.523
 8.2857      0.075         28.394
 8.2143      0.082         30.021
 8.1429      0.088         31.245
 8.0714      0.094         31.637
 8.0000      0.100         28.091
