# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.909
 8.8571      0.026          9.527
 8.7857      0.032         11.120
 8.7143      0.038         12.681
 8.6429      0.045         14.206
 8.5714      0.051         15.688
 8.5000      0.057         17.118
 8.4286      0.063         18.481
 8.3571      0.069         19.759
 8.2857      0.075         20.920
 8.2143      0.082         21.914
 8.1429      0.088         22.636
 8.0714      0.094         22.829
 8.0000      0.100         21.208
