# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.000
 8.8571      0.026         10.593
 8.7857      0.032         13.150
 8.7143      0.038         15.665
 8.6429      0.045         18.130
 8.5714      0.051         20.536
 8.5000      0.057         22.869
 8.4286      0.063         25.110
 8.3571      0.069         27.230
 8.2857      0.075         29.185
 8.2143      0.082         30.893
 8.1429      0.088         32.192
 8.0714      0.094         32.627
 8.0000      0.100         28.500
