# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         11.393
 8.8571      0.026         14.881
 8.7857      0.032         18.326
 8.7143      0.038         21.720
 8.6429      0.045         25.054
 8.5714      0.051         28.316
 8.5000      0.057         31.488
 8.4286      0.063         34.546
 8.3571      0.069         37.454
 8.2857      0.075         40.153
 8.2143      0.082         42.540
 8.1429      0.088         44.397
 8.0714      0.094         45.100
 8.0000      0.100         38.225
