# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.092
 8.8571      0.026         11.036
 8.7857      0.032         13.941
 8.7143      0.038         16.800
 8.6429      0.045         19.604
 8.5714      0.051         22.344
 8.5000      0.057         25.003
 8.4286      0.063         27.561
 8.3571      0.069         29.987
 8.2857      0.075         32.229
 8.2143      0.082         34.200
 8.1429      0.088         35.717
 8.0714      0.094         36.267
 8.0000      0.100         31.204
