# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.858
 8.8571      0.026          9.412
 8.7857      0.032         10.940
 8.7143      0.038         12.437
 8.6429      0.045         13.899
 8.5714      0.051         15.319
 8.5000      0.057         16.688
 8.4286      0.063         17.992
 8.3571      0.069         19.212
 8.2857      0.075         20.321
 8.2143      0.082         21.267
 8.1429      0.088         21.955
 8.0714      0.094         22.142
 8.0000      0.100         20.715
