# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.893
 8.8571      0.026         10.271
 8.7857      0.032         11.625
 8.7143      0.038         12.953
 8.6429      0.045         14.250
 8.5714      0.051         15.509
 8.5000      0.057         16.722
 8.4286      0.063         17.878
 8.3571      0.069         18.958
 8.2857      0.075         19.938
 8.2143      0.082         20.770
 8.1429      0.088         21.366
 8.0714      0.094         21.503
 8.0000      0.100         20.166
