# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         11.007
 8.8571      0.026         11.999
 8.7857      0.032         12.970
 8.7143      0.038         13.919
 8.6429      0.045         14.841
 8.5714      0.051         15.732
 8.5000      0.057         16.585
 8.4286      0.063         17.391
 8.3571      0.069         18.140
 8.2857      0.075         18.813
 8.2143      0.082         19.381
 8.1429      0.088         19.799
 8.0714      0.094         19.968
 8.0000      0.100         19.637
