# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         10.455
 8.8571      0.026         14.298
 8.7857      0.032         18.090
 8.7143      0.038         21.824
 8.6429      0.045         25.488
 8.5714      0.051         29.069
 8.5000      0.057         32.548
 8.4286      0.063         35.897
 8.3571      0.069         39.076
 8.2857      0.075         42.020
 8.2143      0.082         44.614
 8.1429      0.088         46.620
 8.0714      0.094         47.370
 8.0000      0.100         40.451
