# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.261
 8.8571      0.026          8.771
 8.7857      0.032         10.257
 8.7143      0.038         11.713
 8.6429      0.045         13.136
 8.5714      0.051         14.518
 8.5000      0.057         15.851
 8.4286      0.063         17.123
 8.3571      0.069         18.314
 8.2857      0.075         19.397
 8.2143      0.082         20.324
 8.1429      0.088         20.999
 8.0714      0.094         21.181
 8.0000      0.100         19.690
